Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Battery type,AC charging time,Battery capacity,Previous owners,Warranty until,Price
Mercedes-Benz,CLA 200 Shooting Brake,Grey,Black interior,Other interior material,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,120,1332.0,138,Euro 6,19092,2022,No battery type class,0.0,0.0,1,4.0,31649.0
Mazda,6,Red,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,121,1998.0,157,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,3.0,35049.0
Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,180,1984.0,149,Euro 6d,53828,2021,No battery type class,0.0,0.0,1,3.0,33549.0
Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,No emission class,14123,2021,Lithium-ion (Li-ion),1.0526315789473684,50.0,2,3.0,24699.0
Citroen,Jumper,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,121,2179.0,160,Euro 6d-TEMP,68802,2020,No battery type class,0.0,0.0,Unknown,4.0,21899.0
Nissan,X-Trail,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Diesel,Automatic,4x4,130,1995.0,158,Euro 6,125620,2018,No battery type class,0.0,0.0,Unknown,4.0,22699.0
MINI,Cooper SD Countryman,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,1995.0,141,Euro 6d,0,2023,No battery type class,0.0,0.014084507042253521,Unknown,4.0,53099.0
Skoda,Kodiaq,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,7,Diesel,Automatic,4x4,147,1968.0,140,Euro 6d,15,2023,No battery type class,0.0,0.0,1,3.0,56399.0
Renault,Captur,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,898.0,113,Euro 6,99356,2014,No battery type class,0.0,0.0,1,3.0,10299.0
Volkswagen,Caddy,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,7,Diesel,Automatic,4x2,90,1968.0,122,Euro 6d,10737,2022,No battery type class,0.0,0.0,Unknown,3.0,39499.0
Volkswagen,T-Roc,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,127,Euro 6d-TEMP,51790,2020,No battery type class,0.0,0.0,Unknown,3.0,24649.0
MINI,ONE,Black,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Automatic,4x2,75,1499.0,109,Euro 6,19507,2019,No battery type class,0.0,0.0,Unknown,4.0,18349.0
Ford,Mondeo,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1995.0,130,Euro 6d-TEMP,145800,2019,No battery type class,0.0,0.0,Unknown,5.0,15749.0
Audi,A4,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,150,1984.0,131,Euro 6d,13000,2022,No battery type class,0.0,0.0,1,4.0,36299.0
Volkswagen,Tiguan Allspace,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,7,Diesel,Automatic,4x4,147,1968.0,142,Euro 6d,15,2023,No battery type class,0.0,0.0,Unknown,3.0,54299.0
BMW,i3,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,4,Electric,Automatic,4x2,125,647.0,0,Euro 6,15990,2020,Lithium-ion (Li-ion),3.0,8.4,2,4.0,34699.0
Mercedes-Benz,E 220,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,143,1950.0,137,Euro 6,67700,2018,No battery type class,0.0,0.0,2,4.0,35499.0
Skoda,Yeti,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,90,1390.0,159,Euro 5,160500,2013,No battery type class,0.0,0.0,2,3.0,10049.0
Mercedes-Benz,V 250,White,Black interior,Cloth interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x2,140,1950.0,158,Euro 6d-TEMP,86337,2020,No battery type class,0.0,0.014084507042253521,1,4.0,59549.0
Volkswagen,Caddy,White,Black interior,Velour interior,Cargo VAN,4/5 doors,2,Petrol,Manual,4x2,75,999.0,123,Euro 6,35478,2016,No battery type class,0.0,0.0,2,3.0,15849.0
Opel,Astra,Grey,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,92,1399.0,133,Euro 6,49400,2019,No battery type class,0.0,0.0,Unknown,3.0,15199.0
Mercedes-Benz,C 300,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,195,1993.0,137,Euro 6d,20080,2022,No battery type class,0.0,0.0,1,4.0,43549.0
Volkswagen,up!,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Manual,4x2,44,999.0,101,No emission class,56247,2019,No battery type class,0.0,0.0,Unknown,3.0,12849.0
Citroen,C5 Aircross,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,2,Diesel,Manual,4x2,96,858.0,106,Euro 6,80212,2020,No battery type class,0.0,0.0,1,4.0,21499.0
Mercedes-Benz,Vito,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,9+,Diesel,Automatic,4x2,140,1950.0,166,Euro 6d-TEMP,65000,2022,No battery type class,0.0,0.014084507042253521,1,4.0,48899.0
Mercedes-Benz,V 250,Grey,Black interior,Cloth interior,MPV/VAN,4/5 doors,6,Diesel,Automatic,4x4,140,1950.0,214,No emission class,19,2023,No battery type class,0.0,0.014084507042253521,1,4.0,71699.0
Ford,Ranger,Grey,Black interior,Full leather interior,Pick-up,4/5 doors,5,Diesel,Automatic,4x4,157,1996.0,233,Euro 5,92150,2021,No battery type class,0.0,0.0,Unknown,5.0,35749.0
Volkswagen,Polo,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,59,999.0,110,Euro 6,37195,2021,No battery type class,0.0,0.0,1,3.0,17449.0
Skoda,Superb,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,125,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,3.0,53999.0
Volkswagen,T-Cross,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,116,Euro 6d,15500,2022,No battery type class,0.0,0.0,1,3.0,29549.0
Skoda,Fabia,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,59,999.0,117,Euro 6d-TEMP,0,2023,No battery type class,0.0,0.0,Unknown,3.0,18649.0
Ford,B-Max,Silver,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Manual,4x2,74,998.0,119,Euro 5,96008,2013,No battery type class,0.0,0.0,2,5.0,8699.0
Mercedes-Benz,GLC 200,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,120,1950.0,152,Euro 6d,48678,2020,No battery type class,0.0,0.0,Unknown,4.0,46799.0
Skoda,Superb,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,120,Euro 6d-TEMP,38493,2020,No battery type class,0.0,0.0,1,3.0,33049.0
BMW,120,Blue,Black interior,Full leather interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x4,140,1995.0,141,Euro 6,36830,2022,No battery type class,0.0,0.014084507042253521,1,2.0,43199.0
Ford,Fiesta,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,1084.0,102,Euro 6,39342,2021,No battery type class,0.0,0.0,1,3.0,13999.0
Kia,Sportage,Grey,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,132,1598.0,149,Euro 6d,9500,2023,No battery type class,0.0,0.0,1,4.0,37299.0
Hyundai,Kona,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,146,1598.0,136,Euro 6d-TEMP,16,2023,No battery type class,0.0,0.0,Unknown,5.0,40549.0
Opel,Astra,Grey,Black interior,Other interior material,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,81,1199.0,102,Euro 6d,41130,2019,No battery type class,0.0,0.0,2,3.0,17099.0
Volkswagen,ID.4,Black,Brown interior,Other interior material,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,1502.0,0,No emission class,28000,2022,Lithium-ion (Li-ion),8.0,82.0,Unknown,3.0,41499.0
BMW,330,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,190,2993.0,130,Euro 5,27000,2014,No battery type class,0.0,0.0,1,4.0,36149.0
Skoda,Kamiq,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,113,Euro 6d,25000,2022,No battery type class,0.0,0.0,1,3.0,28599.0
Volkswagen,T-Cross,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,116,Euro 6d,11460,2022,No battery type class,0.0,0.0,Unknown,3.0,25349.0
Nissan,Qashqai,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,116,1332.0,0,Euro 6,50,2023,No battery type class,0.0,0.0,Unknown,4.0,33649.0
Hyundai,Tucson,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1598.0,125,Euro 6d,8700,2023,No battery type class,0.0,0.0,1,5.0,30999.0
Kia,cee'd / Ceed,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,117,1482.0,142,Euro 6d,28200,2022,No battery type class,0.0,0.0,1,4.0,23749.0
Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,81,999.0,108,Euro 6d,50,2023,No battery type class,0.0,0.0,1,3.0,29949.0
Volkswagen,Passat,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,176,1968.0,157,Euro 6,70179,2020,No battery type class,0.0,0.0,1,3.0,31549.0
Opel,Corsa,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,Euro 6d-TEMP,1,2023,Lithium-ion (Li-ion),1.0526315789473684,50.0,Unknown,3.0,33599.0
Ford,Puma,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,92,999.0,113,Euro 6d,25,2023,No battery type class,0.0,0.0,1,5.0,27849.0
Opel,Crossland,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,96,1199.0,107,Euro 6,31435,2020,No battery type class,0.0,0.0,2,3.0,17849.0
Renault,Grand Scenic,Grey,Grey interior,Alcantara interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,116,1333.0,146,Euro 6d,10,2023,No battery type class,0.0,0.0,1,3.0,35599.0
Ford,Ranger,Blue,Black interior,Cloth interior,Pick-up,2/3 doors,2,Diesel,Manual,4x2,92,2198.0,192,Euro 5,61614,2012,No battery type class,0.0,0.0,1,5.0,15899.0
Volkswagen,Passat,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,113,Euro 6d,32101,2021,No battery type class,0.0,0.0,1,3.0,25649.0
BMW,118,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Manual,4x2,110,1995.0,108,Euro 6,30000,2020,No battery type class,0.0,0.0,Unknown,4.0,26199.0
Fiat,500,Black,Grey interior,Cloth interior,Hatchback,2/3 doors,4,Electric,Automatic,4x2,70,1.0,0,Euro 6,16450,2021,Lithium-ion (Li-ion),3.0,24.0,Unknown,3.0,22149.0
Audi,A7,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,250,2995.0,171,Euro 6d,21210,2023,No battery type class,0.0,0.0,1,4.0,56299.0
Mercedes-Benz,C 220,Silver,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,147,1993.0,131,Euro 6d-TEMP,3697,2022,No battery type class,0.0,0.0,1,4.0,56299.0
BMW,X3,Brown,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,1995.0,139,Euro 6d-TEMP,24850,2019,No battery type class,0.0,0.014084507042253521,1,4.0,36099.0
Kia,Sportage,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,132,1598.0,163,Euro 6d,5,2023,No battery type class,0.0,0.0,Unknown,4.0,39049.0
Volkswagen,Polo,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,70,999.0,106,Euro 6d-TEMP,67158,2020,No battery type class,0.0,0.0,Unknown,3.0,17299.0
Audi,A5,Blue,Black interior,Cloth interior,Coupe,2/3 doors,5,Petrol,Automatic,4x2,150,1984.0,128,Euro 6d,4000,2023,No battery type class,0.0,0.0,1,4.0,40449.0
Seat,Ibiza,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,106,Euro 6,61000,2019,No battery type class,0.0,0.0,Unknown,4.0,15299.0
Dacia,Duster,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,85,1461.0,126,Euro 6,10,2023,No battery type class,0.0,0.0,Unknown,4.0,25399.0
BMW,X3,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,215,1998.0,45,Euro 6,15689,2020,Lithium-ion (Li-ion),4.0,12.0,Unknown,5.0,52299.0
Audi,Q5,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210,2967.0,178,Euro 6d,24990,2022,No battery type class,0.0,0.0,1,4.0,59249.0
Cupra,Formentor,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,180,1395.0,126,Euro 6d,19250,2021,Lithium-ion (Li-ion),4.0,13.0,1,3.0,34099.0
Kia,cee'd / Ceed,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,150,1591.0,142,Euro 6d,20,2023,No battery type class,0.0,0.0,Unknown,4.0,38399.0
Peugeot,207,Grey,Beige interior,Full leather interior,Hatchback,2/3 doors,5,Petrol,Automatic,4x2,88,1598.0,160,Euro 5,27900,2012,No battery type class,0.0,0.0,1,3.0,13799.0
Mercedes-Benz,GLC 250,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,155,1991.0,152,Euro 6,53282,2018,No battery type class,0.0,0.0,2,4.0,36199.0
Hyundai,Ioniq,Blue,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,104,1580.0,92,Euro 6d-TEMP,55000,2019,Lithium polymer (Li-pol),1.0,45.0,Unknown,5.0,19549.0
Mercedes-Benz,Sprinter,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,125,1950.0,0,Euro 6,68857,2022,No battery type class,0.0,0.0,Unknown,4.0,58049.0
Renault,Clio,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,898.0,113,No emission class,48865,2019,No battery type class,0.0,0.0,Unknown,3.0,14899.0
Cupra,Formentor,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,126,Euro 6d,42031,2022,No battery type class,0.0,0.0,1,3.0,28849.0
Seat,Altea,White,Other interior color,Other interior material,MPV,4/5 doors,5,Petrol,Manual,4x2,63,1390.0,154,No emission class,166021,2011,No battery type class,0.0,0.0,Unknown,4.0,5799.0
BMW,120,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,130,1598.0,142,Euro 6,76399,2015,No battery type class,0.0,0.0,1,4.0,15399.0
Volkswagen,T-Roc,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,999.0,118,Euro 6,3000,2023,No battery type class,0.0,0.0,Unknown,3.0,25449.0
Ford,S-Max,Black,Black interior,Cloth interior,MPV,4/5 doors,7,Diesel,Automatic,4x2,110,1995.0,139,Euro 6d-TEMP,96640,2019,No battery type class,0.0,0.0,Unknown,5.0,25749.0
Peugeot,308,Black,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,96,1199.0,105,Euro 6d,41910,2021,No battery type class,0.0,0.0,Unknown,3.0,21449.0
Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,133,Euro 6d,26200,2023,No battery type class,0.0,0.0,1,3.0,31899.0
Volkswagen,Polo,Silver,Grey interior,Cloth interior,Hatchback,2/3 doors,5,Petrol,Manual,4x2,66,1197.0,107,Euro 6,59444,2014,No battery type class,0.0,0.0,1,3.0,12399.0
Opel,Combo,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Manual,4x2,96,1499.0,117,Euro 6,128500,2019,No battery type class,0.0,0.0,Unknown,3.0,15899.0
BMW,X1,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,110,1995.0,113,Euro 6,79056,2019,No battery type class,0.0,0.0,2,4.0,26249.0
Volkswagen,T-Cross,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,81,999.0,112,Euro 6,23854,2022,No battery type class,0.0,0.0,Unknown,3.0,24649.0
Volkswagen,Passat,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,106,Euro 6d,12850,2022,No battery type class,0.0,0.0,Unknown,3.0,34299.0
Volkswagen,Sharan,Black,Beige interior,Other interior material,MPV,4/5 doors,5,Diesel,Automatic,4x2,125,1968.0,154,Euro 5,164750,2011,No battery type class,0.0,0.0,3,3.0,12899.0
MINI,Cooper S Clubman,Blue,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,141,1998.0,151,No emission class,55547,2019,No battery type class,0.0,0.0,2,4.0,24649.0
Volkswagen,Tiguan,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,133,Euro 6,4000,2023,No battery type class,0.0,0.0,1,2.0,39699.0
Mercedes-Benz,Sprinter,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,CNG,Automatic,4x2,115,1796.0,213,Euro 6,168040,2017,No battery type class,0.0,0.0,Unknown,4.0,19799.0
BMW,220 Gran Tourer,Grey,Other interior color,Full leather interior,MPV,4/5 doors,5,Petrol,Manual,4x2,141,1998.0,149,Euro 6,91500,2015,No battery type class,0.0,0.0,Unknown,4.0,19449.0
Audi,A3,White,Black interior,Full leather interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,104,Euro 6,11354,2023,No battery type class,0.0,0.0,Unknown,4.0,38749.0
Ford,Fiesta,Blue,Other interior color,Part leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,92,999.0,90,No emission class,10340,2020,No battery type class,0.0,0.0,1,5.0,21099.0
Mazda,CX-5,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,121,1998.0,165,No emission class,19463,2023,No battery type class,0.0,0.0,Unknown,3.0,33099.0
BMW,X1,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,103,1499.0,122,Euro 6,43740,2018,No battery type class,0.0,0.0,Unknown,4.0,24149.0
Mercedes-Benz,EQC,Silver,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,300,2078.0,0,No emission class,12997,2022,Lithium-ion (Li-ion),5.555555555555555,85.0,Unknown,4.0,59649.0
Mercedes-Benz,GL 63 AMG,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x4,410,5461.0,288,No emission class,52753,2015,No battery type class,0.0,0.0,2,4.0,61649.0
Land Rover,Range Rover Evoque,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,1998.0,139,No emission class,17670,2022,No battery type class,0.0,0.0,Unknown,5.0,46349.0
Skoda,Karoq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,126,Euro 6,55473,2021,No battery type class,0.0,0.0,Unknown,3.0,30949.0
Renault,Clio,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,68,999.0,112,Euro 6,31981,2022,No battery type class,0.0,0.0,Unknown,3.0,19099.0
BMW,540,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,245,2998.0,120,Euro 6d,25500,2022,No battery type class,0.0,0.0,1,4.0,60099.0
Skoda,Superb,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,140,1968.0,129,Euro 6d-TEMP,98589,2020,No battery type class,0.0,0.014084507042253521,1,3.0,32049.0
Audi,A4,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,100,1968.0,110,Euro 6d-TEMP,38450,2020,No battery type class,0.0,0.0,2,4.0,28899.0
Nissan,Micra,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,68,999.0,103,Euro 6d,10949,2022,No battery type class,0.0,0.0,Unknown,4.0,18899.0
BMW,420,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,Petrol,Automatic,4x2,135,1998.0,162,Euro 6d,24500,2023,No battery type class,0.0,0.0,1,4.0,40849.0
MG,ZS,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,78,1498.0,0,Euro 6,10,2023,No battery type class,0.0,0.0,Unknown,7.0,17149.0
Skoda,Fabia,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,51,1198.0,128,Euro 5,87460,2011,No battery type class,0.0,0.0,2,3.0,7399.0
Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,1395.0,132,Euro 6,129477,2016,No battery type class,0.0,0.0,1,8.0,15949.0
Alfa Romeo,Stelvio,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,118,2143.0,139,Euro 6d,90818,2019,No battery type class,0.0,0.0,Unknown,2.0,25149.0
Hyundai,Kona,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,88,998.0,125,Euro 6,15,2023,No battery type class,0.0,0.0,Unknown,5.0,29949.0
Hyundai,Kona,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,160,1318.0,0,Euro 6,10,2023,Lithium-ion (Li-ion),6.0,66.0,Unknown,5.0,52749.0
Skoda,Octavia,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,135,1968.0,139,Euro 6,158870,2019,No battery type class,0.0,0.0,Unknown,3.0,18349.0
Toyota,Aygo,Silver,Other interior color,Other interior material,Hatchback,4/5 doors,4,Petrol,Manual,4x2,53,998.0,93,Euro 6,68874,2021,No battery type class,0.0,0.0,Unknown,5.0,11899.0
Audi,A4,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,140,1984.0,119,Euro 6,109893,2017,No battery type class,0.0,0.014084507042253521,Unknown,7.0,24199.0
Citroen,C4 Cactus,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,75,1499.0,97,No emission class,53139,2020,No battery type class,0.0,0.0,Unknown,4.0,15899.0
Mercedes-Benz,ML 500,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,300,4663.0,273,Euro 5,44241,2014,No battery type class,0.0,0.0,Unknown,4.0,41749.0
Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,7,Petrol,Manual,4x2,110,1498.0,149,Euro 6,35609,2022,No battery type class,0.0,0.0,1,3.0,29949.0
Volkswagen,Golf,White,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,99,Euro 6d-TEMP,72700,2020,No battery type class,0.0,0.0,1,3.0,24349.0
Toyota,Camry,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,160,2487.0,101,Euro 6,6,2023,No battery type class,0.0,0.0,Unknown,5.0,43499.0
Ford,Kuga,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,1995.0,0,Euro 6,19446,2022,No battery type class,0.0,0.014084507042253521,1,5.0,37349.0
BMW,118,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,103,1499.0,130,Euro 6d,37239,2020,No battery type class,0.0,0.0,1,4.0,22999.0
Mercedes-Benz,A 180,Grey,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,85,1461.0,100,Euro 6d-TEMP,127500,2019,No battery type class,0.0,0.0,1,4.0,21499.0
Audi,Q3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,119,Euro 6,20000,2023,No battery type class,0.0,0.0,Unknown,4.0,54999.0
Hyundai,i30,White,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,118,1482.0,108,Euro 6d,39990,2022,No battery type class,0.0,0.0,Unknown,5.0,25249.0
Volkswagen,Polo,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,109,Euro 6d,3000,2022,No battery type class,0.0,0.0,Unknown,3.0,23599.0
Mercedes-Benz,C 200,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,135,1497.0,142,Euro 6d-TEMP,84280,2018,No battery type class,0.0,0.0,Unknown,4.0,26299.0
BMW,320,White,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140,1995.0,122,Euro 6,25900,2022,No battery type class,0.0,0.014084507042253521,1,4.0,41549.0
Seat,Ateca,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1499.0,129,No emission class,10,2023,No battery type class,0.0,0.0,1,4.0,37049.0
Renault,Clio,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,898.0,113,Euro 6,63463,2019,No battery type class,0.0,0.0,Unknown,5.0,12699.0
Volkswagen,Touareg,Blue,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210,2967.0,184,Euro 6d-TEMP,43266,2019,No battery type class,0.0,0.0,2,3.0,47899.0
Kia,Venga,White,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Manual,4x2,92,1591.0,155,No emission class,63900,2015,No battery type class,0.0,0.0,2,4.0,11799.0
Opel,Corsa,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,1199.0,93,Euro 6,51100,2022,No battery type class,0.0,0.0,1,3.0,15649.0
BMW,218 Active Tourer,Black,Black interior,Full leather interior,MPV,4/5 doors,5,Petrol,Manual,4x2,100,1499.0,119,Euro 6,131000,2017,No battery type class,0.0,0.0,Unknown,4.0,12749.0
